LISTA,CANDIDATO
LISTA CIVICA GUALTIERI SINDACO,BARBARA BARONI
LISTA CIVICA GUALTIERI SINDACO,MARCO BELLI
LISTA CIVICA GUALTIERI SINDACO,LUCIANO CERAUDO
LISTA CIVICA GUALTIERI SINDACO,SUSY CESETTI
LISTA CIVICA GUALTIERI SINDACO,MARICA D'ABBRUZZO
LISTA CIVICA GUALTIERI SINDACO,ANDREA DE BLASIS
LISTA CIVICA GUALTIERI SINDACO,CAMILLA DE CINTI
LISTA CIVICA GUALTIERI SINDACO,SARA EL DEBUCH
LISTA CIVICA GUALTIERI SINDACO,STEFANO FEDERICO
LISTA CIVICA GUALTIERI SINDACO,MIRKO GALANTI
LISTA CIVICA GUALTIERI SINDACO,MARCO IANZINI
LISTA CIVICA GUALTIERI SINDACO,DOMENICO MILONI
LISTA CIVICA GUALTIERI SINDACO,EMILIANO ORLANDI
LISTA CIVICA GUALTIERI SINDACO,CLAUDIO RICOZZI
LISTA CIVICA GUALTIERI SINDACO,FRANCESCA RUSSO
LISTA CIVICA GUALTIERI SINDACO,ROBERTO SABATINI
DEMOS DEMOCRAZIA SOLIDALE,FRANCESCO TIERI
DEMOS DEMOCRAZIA SOLIDALE,DOMENICO ANTONIO AGOSTINO
DEMOS DEMOCRAZIA SOLIDALE,NICOLO' AMATO
DEMOS DEMOCRAZIA SOLIDALE,SERGIO BARBAGALLO
DEMOS DEMOCRAZIA SOLIDALE,ADRIANO BONFORTI
DEMOS DEMOCRAZIA SOLIDALE,IRENEO ANTONIO DA CONCEICAO SPENCER TEQUE
DEMOS DEMOCRAZIA SOLIDALE,ANDREA D'ATTIS
DEMOS DEMOCRAZIA SOLIDALE,SILVIA DE RUGGIERO
DEMOS DEMOCRAZIA SOLIDALE,DOMENICO FERRELI
DEMOS DEMOCRAZIA SOLIDALE,STEFANO FONTANA
DEMOS DEMOCRAZIA SOLIDALE,GIOIA ELISA GRULLINI
DEMOS DEMOCRAZIA SOLIDALE,MANAR HASSNEIN
DEMOS DEMOCRAZIA SOLIDALE,ANDREA LEMMA
DEMOS DEMOCRAZIA SOLIDALE,RAFFAELA MILO
DEMOS DEMOCRAZIA SOLIDALE,ALESSANDRO NARDIS
DEMOS DEMOCRAZIA SOLIDALE,EDUARDO RICCIARDELLI
DEMOS DEMOCRAZIA SOLIDALE,GIULIA RUFFINI
DEMOS DEMOCRAZIA SOLIDALE,GIANCARLO RUSSO
DEMOS DEMOCRAZIA SOLIDALE,LAILA SHAH
DEMOS DEMOCRAZIA SOLIDALE,MARIALUISA SILVESTRINI
DEMOS DEMOCRAZIA SOLIDALE,ROSANNA TESTORE
DEMOS DEMOCRAZIA SOLIDALE,FRANCESCA ZIZZA
IMPEGNO CIVICO CALISTE PRESIDENTE,FRANCESCA ALESSANDRI
IMPEGNO CIVICO CALISTE PRESIDENTE,ELENA ANTINOZZI
IMPEGNO CIVICO CALISTE PRESIDENTE,FRANCESCO CROCE'
IMPEGNO CIVICO CALISTE PRESIDENTE,CHIARA CRUPI
IMPEGNO CIVICO CALISTE PRESIDENTE,CARLO DIELLA
IMPEGNO CIVICO CALISTE PRESIDENTE,ILEANA DI PIETRO
IMPEGNO CIVICO CALISTE PRESIDENTE,ERICA FEDERICI
IMPEGNO CIVICO CALISTE PRESIDENTE,TERESA FERRARO
IMPEGNO CIVICO CALISTE PRESIDENTE,PASQUALE FERRETTI
IMPEGNO CIVICO CALISTE PRESIDENTE,ANTONELLA FIORETTI
