SEZIONE,POTERE AL POPOLO,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,PARTITO COMUNISTA MARCO RIZZO,CALENDA SINDACO,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,TOTALE,MUNICIPIO,AFFLUENZA
1465,0,1,0,123,3,0,0,9,7,14,116,29,6,41,8,19,7,76,16,23,21,0,519,12,0.5629067245119306
1466,8,1,1,88,1,0,0,14,5,7,131,37,9,21,8,10,14,82,32,24,11,2,506,12,0.5548245614035088
1467,1,0,2,91,0,1,0,7,5,5,100,17,1,6,12,7,3,51,16,11,4,0,340,12,0.5862068965517241
1885,8,1,1,104,1,1,0,13,0,8,101,22,8,47,0,21,17,136,28,41,6,1,565,12,0.46578730420445175
1886,1,1,3,73,3,0,1,5,8,7,107,11,14,33,12,26,13,88,40,33,4,1,484,12,0.3884430176565008
1887,6,1,6,61,0,4,1,6,3,10,133,28,4,14,9,16,6,70,42,34,6,2,462,12,0.721875
1888,2,2,3,23,2,1,1,8,3,6,96,18,7,29,4,10,6,46,31,24,2,2,326,12,0.4670487106017192
1889,1,2,6,60,11,3,0,8,5,14,242,21,10,39,14,9,4,69,39,18,0,0,575,12,0.6078224101479915
1890,2,1,2,63,2,2,0,7,4,6,93,17,10,19,10,21,8,55,14,16,1,1,354,12,0.5299401197604791
1891,4,0,1,42,0,2,1,7,2,7,114,17,4,20,5,19,5,61,20,19,3,1,354,12,0.5700483091787439
1892,2,1,5,25,1,0,0,3,2,5,95,9,2,19,6,11,8,47,20,24,5,0,290,12,0.444104134762634
1893,4,0,5,49,0,3,0,7,4,5,143,20,0,16,8,23,5,70,30,17,6,1,416,12,0.4556407447973713
1894,2,0,6,45,1,1,0,5,5,5,130,13,3,20,8,23,10,79,28,18,4,0,406,12,0.5561643835616439
1895,9,4,5,73,1,0,0,6,7,9,164,19,12,69,7,5,10,90,52,22,0,1,565,12,0.6023454157782516
1896,6,1,9,42,1,0,0,5,5,8,108,12,4,38,6,22,10,69,46,41,4,0,437,12,0.4965909090909091
1897,4,1,4,39,1,3,0,7,3,5,156,14,2,23,3,13,1,56,35,15,4,1,390,12,0.499359795134443
1898,4,0,4,30,0,1,0,4,2,4,106,11,1,38,2,14,5,64,54,16,2,2,364,12,0.4885906040268456
1899,3,3,8,52,0,2,0,6,4,7,205,30,5,24,11,25,4,75,91,17,0,1,573,12,0.5568513119533528
1900,2,0,5,75,0,0,0,6,3,13,143,25,2,34,11,10,6,52,37,11,1,3,439,12,0.5753604193971167
1901,0,3,7,46,5,1,0,8,6,3,143,21,6,28,3,11,5,67,47,23,3,2,438,12,0.5063583815028901
1902,2,0,4,41,0,0,0,10,6,6,103,17,2,31,7,15,9,48,27,11,1,0,340,12,0.4702627939142462
1903,0,0,0,1,3,0,0,8,8,8,102,28,6,14,5,11,8,50,28,10,14,0,304,12,0.4158686730506156
1904,5,8,3,64,0,0,0,7,16,14,65,21,18,20,9,9,0,40,30,0,1,1,331,12,0.44489247311827956
1905,4,1,2,88,1,0,0,4,2,13,102,23,4,19,9,14,6,98,25,18,0,0,433,12,0.5565552699228792
1906,2,0,2,91,0,1,1,5,3,7,88,21,9,16,3,14,13,64,24,16,7,0,387,12,0.44947735191637633
1907,5,2,2,54,4,0,0,9,3,9,90,19,7,30,1,28,9,56,34,17,3,1,383,12,0.5487106017191977
1908,5,3,7,69,1,2,0,5,4,6,115,33,3,37,8,19,9,76,28,17,4,1,452,12,0.5124716553287982
1910,4,1,8,29,0,0,0,7,6,1,148,19,12,15,5,27,5,40,23,15,5,2,372,12,0.4708860759493671
1911,2,2,0,28,1,0,0,2,0,3,54,18,0,12,6,6,5,35,14,11,0,0,199,12,0.4830097087378641
1912,4,4,11,35,0,0,0,12,3,7,118,28,1,18,6,11,5,53,18,18,1,4,357,12,0.4897119341563786
1913,1,2,7,30,2,0,0,6,3,10,81,17,4,35,7,12,10,51,31,17,1,0,327,12,0.41762452107279696
1914,6,4,4,45,1,1,0,10,5,4,67,9,7,19,6,18,4,78,38,31,3,1,361,12,0.5301027900146843
1915,4,4,2,38,0,0,0,6,4,5,71,15,1,23,8,16,9,46,34,10,6,6,308,12,0.49044585987261147
1916,1,4,5,46,3,0,0,0,6,8,65,8,3,31,2,24,12,69,27,14,2,0,330,12,0.4628330995792426
1917,4,3,5,42,3,1,0,7,0,5,74,22,9,14,2,19,8,53,30,19,5,3,328,12,0.45874125874125876
1918,3,3,3,42,1,2,0,8,0,7,74,21,7,20,6,16,3,68,26,20,6,2,338,12,0.4794326241134752
1919,6,3,4,76,2,2,1,6,5,3,140,26,1,29,3,14,10,75,30,21,1,1,459,12,0.594559585492228
2064,0,1,1,18,2,0,0,4,2,3,35,8,2,13,6,15,5,62,38,11,2,0,228,12,0.5520581113801453
2068,2,0,3,32,0,2,1,7,9,3,109,14,2,44,5,49,5,108,58,23,4,1,481,12,0.4364791288566243
2069,2,0,2,25,0,0,1,7,2,3,88,11,7,48,5,36,11,97,42,17,3,2,409,12,0.4402583423035522
2070,3,5,9,31,1,2,2,5,2,2,106,16,6,50,10,48,14,108,36,26,3,0,485,12,0.43772563176895307
2071,3,0,3,46,0,3,0,9,4,9,87,15,6,27,4,77,11,140,53,41,4,0,542,12,0.5166825548141086
2072,1,0,1,44,0,7,1,4,2,12,107,20,4,33,6,81,9,132,40,15,4,1,524,12,0.5303643724696356
2073,1,1,5,50,1,1,1,7,4,14,79,13,10,35,4,29,11,129,42,24,2,1,464,12,0.37510105092966856
