SEZIONE,PARTITO COMUNISTA MARCO RIZZO,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,LIBERISTI ITALIANI,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,REVOLUZIONE CIVICA,CALENDA SINDACO,POTERE AL POPOLO,TOTALE,MUNICIPIO,AFFLUENZA
2399,4,67,2,19,13,7,3,10,7,10,18,107,48,47,0,0,2,3,19,3,389,14,0.49744245524296676
2400,1,92,11,41,25,11,9,5,9,9,20,48,60,49,1,0,3,0,39,6,439,14,0.5251196172248804
2401,4,45,13,16,4,3,5,11,4,3,16,62,73,24,1,1,4,0,26,4,319,14,0.42533333333333334
2402,3,56,7,18,15,4,3,28,15,6,41,104,32,17,0,1,1,0,59,1,411,14,0.30671641791044774
2403,5,66,3,13,18,1,6,24,20,8,62,86,38,24,0,0,1,7,55,8,445,14,0.34257120862201695
2427,3,26,11,9,3,3,2,8,6,7,20,52,38,17,1,3,0,0,18,2,229,14,0.4598393574297189
2428,4,49,7,11,8,6,1,13,7,3,9,31,22,19,0,1,5,1,13,4,214,14,0.44490644490644493
2429,1,35,1,9,6,4,3,15,6,5,16,44,26,25,0,2,0,1,15,2,216,14,0.3673469387755102
2430,6,58,9,23,12,7,2,12,11,9,24,74,43,26,0,1,0,1,36,2,356,14,0.46657929226736566
2431,2,55,6,15,6,7,5,14,7,3,19,57,29,16,0,2,0,3,24,0,270,14,0.4838709677419355
2432,2,53,15,16,13,7,5,5,9,4,12,43,23,27,1,1,8,2,26,2,274,14,0.48324514991181655
2433,1,41,4,7,10,5,2,17,9,6,23,67,32,15,0,0,0,0,12,2,253,14,0.4737827715355805
2517,6,43,20,17,3,13,2,14,11,9,27,104,45,24,0,1,3,2,10,31,385,14,0.5032679738562091
2534,5,40,11,25,8,4,3,9,5,5,13,48,39,19,0,2,0,0,6,2,244,14,0.48412698412698413
2551,12,112,21,30,26,9,7,36,21,16,30,117,70,67,0,0,0,0,54,2,630,14,0.4701492537313433
2567,2,104,2,18,4,5,5,20,15,9,28,86,59,34,1,2,0,0,31,1,426,14,0.32997676219984506
2587,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,7,14,
2588,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,14,
2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
2590,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,14,0.2857142857142857
2599,0,6,0,3,1,0,0,1,1,1,5,9,5,1,0,0,0,0,0,0,33,14,
