SEZIONE,PARTITO COMUNISTA MARCO RIZZO,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LIBERISTI ITALIANI,MOVIMENTO STORICO ROMANO LISTA NERONE,RICONQUISTARE L'ITALIA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,CALENDA SINDACO,REVOLUZIONE CIVICA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,POTERE AL POPOLO,TOTALE,MUNICIPIO,AFFLUENZA
367,6,4,0,2,1,4,37,39,53,0,8,11,25,78,25,11,4,22,11,68,13,3,425,3,0.47592385218365063
368,8,2,0,0,0,2,15,26,20,4,5,4,33,67,19,5,1,14,6,63,5,2,301,3,0.35833333333333334
369,3,0,1,0,1,3,17,28,32,1,7,15,17,66,21,2,6,15,6,48,18,5,312,3,0.3391304347826087
370,1,0,0,1,0,1,21,17,19,4,9,11,41,72,24,4,3,4,1,34,3,1,271,3,0.37276478679504815
371,6,1,0,0,1,2,22,22,13,0,8,11,28,85,10,4,0,8,6,32,1,2,262,3,0.36187845303867405
372,1,3,2,0,0,1,20,26,50,0,12,13,46,84,28,7,3,20,3,52,18,3,392,3,0.28303249097472927
373,8,4,1,0,3,2,43,61,49,1,6,18,63,120,21,2,1,18,8,105,13,4,551,3,0.48080279232111695
374,6,1,1,0,1,2,37,52,37,1,9,11,40,99,27,7,5,23,7,107,5,4,482,3,0.39801816680429397
375,2,0,0,1,3,1,26,37,21,0,17,12,43,67,21,5,11,19,8,67,11,3,375,3,0.3354203935599284
856,2,2,0,0,0,0,39,66,63,0,5,17,29,101,20,10,2,13,13,81,8,2,473,3,0.9292730844793713
1762,2,0,2,1,0,4,21,34,144,0,0,12,51,94,21,9,5,27,6,59,13,4,509,3,0.7496318114874816
2521,0,0,2,0,0,2,16,20,33,0,7,7,36,53,13,1,15,15,5,61,9,1,296,3,0.4198581560283688
2522,1,0,2,1,1,0,16,18,31,1,3,2,17,65,10,6,5,14,6,60,8,0,267,3,0.4564102564102564
2539,8,2,2,0,1,2,42,52,53,1,5,18,19,66,16,4,1,18,9,98,13,2,432,3,0.3597002497918401
2562,5,4,3,4,0,0,35,39,39,4,6,10,8,75,80,7,3,19,5,80,13,3,442,3,0.5964912280701754
2563,5,2,2,1,2,0,43,53,73,2,5,11,24,100,21,11,8,27,12,85,13,6,506,3,0.5320715036803365
2564,5,1,6,0,0,0,20,45,128,0,5,15,37,128,28,11,6,28,8,80,20,1,572,3,0.5355805243445693
