LISTA,CANDIDATO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,NUNZIO CICCONE
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,MANUEL NISI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ALESSANDRO MEROLLE
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,RENATO ZANCOLLA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,PIETRO JORI TABET
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ANDREA MONTECCHIA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,VALERIO PIERPAOLO CECCONI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,MARCO BORGIONI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,GIULIA CAMEDDA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,MASSIMO GALATONE
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ROSARIO FALCIANO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,MARCO PROSPERI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,GIULIO COLETTA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ANDREA MENEGAZ
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,NICOLA NORELLI
PARTITO COMUNISTA DEI LAVORATORI,MASSIMO CAPPELLANI
PARTITO COMUNISTA DEI LAVORATORI,MARCO PICCINELLI
PARTITO COMUNISTA DEI LAVORATORI,LEO CACCIARI
PARTITO COMUNISTA DEI LAVORATORI,MAURIZIO LUPIDI
PARTITO COMUNISTA DEI LAVORATORI,STEFANO VANNUCCI
PARTITO COMUNISTA DEI LAVORATORI,RICCARDO SPADANO
PARTITO COMUNISTA DEI LAVORATORI,ANDREA MARIA PENSABENE
PARTITO COMUNISTA DEI LAVORATORI,SILVANA IEMMA
PARTITO COMUNISTA DEI LAVORATORI,ARDUINO FRAVETO
PARTITO COMUNISTA DEI LAVORATORI,FRANCO SORGE
PARTITO COMUNISTA DEI LAVORATORI,UMBERTA TASCIOTTI
PARTITO COMUNISTA DEI LAVORATORI,BARBARA PECCHIOLI
PARTITO COMUNISTA DEI LAVORATORI,ARRIGO GAVAGNI
PARTITO COMUNISTA DEI LAVORATORI,LINDA BONCI
PARTITO COMUNISTA DEI LAVORATORI,SIMONE PERUGINI
PARTITO COMUNISTA DEI LAVORATORI,ANTONIO CARRABBA
PARTITO COMUNISTA DEI LAVORATORI,ROSSANA LOMBARDI
PARTITO COMUNISTA DEI LAVORATORI,ADA TORRENTE
PARTITO COMUNISTA DEI LAVORATORI,DOMENICO MARSILI
PARTITO COMUNISTA DEI LAVORATORI,ALESSANDRO FREDIANI
PARTITO COMUNISTA DEI LAVORATORI,MARIA LASCIALFARI
PARTITO COMUNISTA DEI LAVORATORI,DIEGO PEVERINI
PARTITO COMUNISTA DEI LAVORATORI,CRESCENZO PAPALE
PARTITO COMUNISTA DEI LAVORATORI,FRANCA DE ANGELIS
PARTITO COMUNISTA DEI LAVORATORI,FABRIZIO TOGNETTI
PARTITO COMUNISTA DEI LAVORATORI,ANTONIO CASAGRANDE
PARTITO COMUNISTA DEI LAVORATORI,GABRIELA FICCADENTI
PARTITO COMUNISTA DEI LAVORATORI,OTTAVIANO SCIPIONE
PARTITO COMUNISTA DEI LAVORATORI,PAOLA TAVERNA
PARTITO COMUNISTA DEI LAVORATORI,ALFONSINA PALUMBO
PARTITO COMUNISTA DEI LAVORATORI,GIOVANNA SICLARI
PARTITO COMUNISTA DEI LAVORATORI,TIZIANO DI CLEMENTE
PARTITO COMUNISTA DEI LAVORATORI,ROSA ANNA ERAMO
PCI,GAETANO SEMINATORE
PCI,MARIA GRAZIA GALLI
PCI,WALTER MARIO TUCCI
PCI,IURI AMBROSI
PCI,MARIA BARBARO
PCI,GABRIELLA BELARDINELLI
