SEZIONE,PARTITO COMUNISTA MARCO RIZZO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,CALENDA SINDACO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA CATALANO PRESIDENTE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,TOTALE,MUNICIPIO,AFFLUENZA
1325,3,31,26,2,4,40,1,32,12,97,6,4,7,69,38,15,1,4,392,11,0.5584045584045584
1326,5,19,23,0,2,35,1,24,26,73,2,3,5,58,37,18,1,5,337,11,0.4410994764397906
1327,2,30,28,1,2,43,0,27,8,64,4,4,6,52,30,20,0,11,332,11,0.4776978417266187
1328,8,18,26,4,3,48,0,36,8,90,5,6,5,58,41,19,1,14,390,11,0.5151915455746368
1329,3,19,24,1,1,35,1,14,7,57,4,3,7,61,13,8,2,14,274,11,0.45896147403685095
1330,4,14,23,11,3,29,2,13,3,54,3,3,6,51,14,18,1,10,262,11,0.445578231292517
1331,0,26,45,0,0,24,0,28,5,89,3,5,7,77,25,15,1,11,361,11,0.4391727493917275
1332,3,18,28,2,6,48,1,22,11,85,6,6,14,83,24,18,3,11,389,11,0.47730061349693254
1333,0,14,21,1,2,22,1,8,2,42,0,2,2,53,12,9,4,10,205,11,0.4175152749490835
1334,6,27,31,2,1,23,2,22,7,69,4,0,3,60,27,8,4,8,304,11,0.4943089430894309
1335,0,15,15,2,2,29,0,28,5,59,3,4,9,42,26,12,4,3,258,11,0.44947735191637633
1336,1,23,30,0,0,34,1,13,12,76,1,4,4,55,27,9,1,3,294,11,0.4336283185840708
1337,6,24,23,2,1,48,0,21,9,71,0,4,2,71,29,12,1,6,330,11,0.4881656804733728
1338,2,30,31,2,0,37,1,31,12,57,0,1,5,95,42,12,0,9,367,11,0.4778645833333333
1339,6,14,44,3,3,35,0,21,15,70,4,7,7,82,37,10,2,6,366,11,0.4457978075517661
1340,3,14,16,0,0,30,0,18,14,54,2,1,2,33,17,10,1,2,217,11,0.4419551934826884
1341,9,15,15,0,1,18,1,21,18,40,2,1,2,60,16,8,3,7,237,11,0.4086206896551724
1342,3,16,23,2,2,17,1,15,9,51,0,6,3,83,37,14,1,5,288,11,0.4279346210995542
1343,0,27,26,0,0,0,0,17,15,51,3,8,6,58,27,10,2,5,255,11,0.38403614457831325
1344,6,23,27,0,3,2,1,17,10,42,0,1,2,75,22,9,0,5,245,11,0.36082474226804123
1345,3,16,27,0,1,18,1,10,16,49,5,2,7,85,30,11,1,4,286,11,0.3552795031055901
1346,5,26,30,2,1,27,2,19,12,90,6,3,8,85,57,12,1,10,396,11,0.47030878859857483
1347,6,33,29,2,2,20,0,15,7,71,3,1,2,74,33,8,1,3,310,11,0.39540816326530615
