SEZIONE,GIORGIA MELONI FRATELLI D'ITALIA,POTERE AL POPOLO,REVOLUZIONE CIVICA,MOVIMENTO IDEA SOCIALE M.I.S.,PARTITO COMUNISTA MARCO RIZZO,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,LISTA CIVICA LE TORRI NICOLA FRANCO PRESIDENTE,TOTALE,MUNICIPIO,AFFLUENZA
726,96,2,2,5,5,4,2,2,25,3,3,2,16,0,0,21,35,6,31,15,5,2,282,6,0.4208955223880597
727,94,1,0,1,2,1,3,2,37,13,3,0,20,0,0,24,32,3,36,11,1,2,286,6,0.4590690208667737
728,116,2,6,3,1,0,1,1,56,12,6,1,20,1,0,40,53,7,36,14,16,3,395,6,0.44733861834654587
729,60,7,3,3,4,2,2,6,55,13,2,2,18,0,2,22,30,8,16,31,10,3,299,6,0.4496240601503759
730,80,11,1,6,1,2,5,13,66,21,5,0,28,7,0,33,42,22,49,10,12,1,415,6,0.4117063492063492
731,65,4,2,2,6,5,3,8,33,14,5,6,28,0,1,32,43,8,38,8,8,2,321,6,0.3839712918660287
732,51,13,4,0,2,1,1,5,33,12,5,1,11,1,0,16,43,8,45,11,6,2,271,6,0.35103626943005184
733,61,8,5,9,3,1,6,0,58,9,19,2,23,1,2,42,38,10,44,36,9,3,389,6,0.49680715197956576
734,43,9,3,1,0,1,3,5,30,18,3,2,17,2,0,13,29,4,48,10,7,0,248,6,0.4343257443082312
735,39,8,0,1,3,4,0,2,31,7,0,4,10,0,0,18,24,4,31,4,2,0,192,6,0.3221476510067114
736,26,6,2,2,6,0,0,2,13,9,2,1,16,2,5,19,29,4,26,5,13,0,188,6,0.3664717348927875
737,23,7,0,1,2,0,5,2,30,1,0,1,6,0,3,14,12,4,30,7,4,0,152,6,0.2857142857142857
738,30,7,4,3,4,0,1,1,30,11,2,0,13,2,0,22,38,3,36,11,3,3,224,6,0.32558139534883723
739,39,8,12,0,3,1,0,2,23,6,2,1,9,3,0,19,30,3,30,0,7,3,201,6,0.3338870431893688
740,47,16,4,0,0,0,1,4,12,10,1,1,6,2,0,14,26,6,9,4,1,0,164,6,0.3273453093812375
741,24,15,1,4,4,2,3,1,24,8,1,2,9,1,0,8,24,2,37,6,12,0,188,6,0.260748959778086
742,24,13,1,1,3,4,1,1,10,1,0,1,3,0,0,9,27,10,18,4,6,1,138,6,0.21495327102803738
743,99,3,10,2,9,0,2,1,40,12,1,2,23,6,3,26,44,13,51,29,9,0,385,6,0.30386740331491713
744,15,13,0,2,0,1,0,0,14,1,2,1,5,0,0,2,12,3,14,6,3,0,94,6,0.18613861386138614
745,43,6,3,2,4,4,3,8,35,6,1,1,3,0,0,19,37,5,46,8,20,2,256,6,0.287317620650954
746,15,4,1,9,3,1,2,2,14,2,1,0,20,0,0,12,18,1,20,14,9,1,149,6,0.28598848368522073
747,33,4,5,1,4,2,1,2,20,5,1,1,3,1,0,10,12,3,23,13,7,0,151,6,0.2419871794871795
748,26,6,2,4,2,6,1,6,24,11,1,1,6,0,0,11,17,6,21,6,1,0,158,6,0.2719449225473322
749,65,18,2,6,4,1,2,5,66,9,1,2,24,1,1,29,49,12,53,7,11,2,370,6,0.4079382579933848
750,36,2,1,5,0,11,1,3,29,5,3,1,21,1,0,20,42,7,38,5,4,0,235,6,0.34763313609467456
751,29,4,3,0,4,2,1,2,23,11,0,0,10,1,0,6,20,6,39,11,5,0,177,6,0.23790322580645162
