SEZIONE,PARTITO DELLE BUONE MANIERE,MPL MOVIMENTO POLITICO LIBERTAS,"IL POPOLO DELLA FAMIGLIA ""NO GENDER NELLE SCUOLE""",DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PARTITO SOCIALISTA ITALIANO PSI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,CALENDA SINDACO,PARTITO COMUNISTA MARCO RIZZO,POTERE AL POPOLO,FIGLI D'ITALIA BAMBINI NEL MONDO CARLO PRIOLO SINDACO,MOVIMENTO STORICO ROMANO LISTA NERONE,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE DI,PARTITO LIBERALE EUROPEO ROMA CON MICHETTI,ITALIA DEI VALORI,VERITA' 3V LIBERTA',CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDACA,"SPORTIVI PER ROMA ""VIRGINIA RAGGI SINDACA""","MOVIMENTO CINQUE STELLE ""2050""","ROMA DECIDE ""VIRGINIA RAGGI SINDACA""","LISTA CIVICA ""VIRGINIA RAGGI""","CON LE DONNE PER ROMA ""VIRGINIA RAGGI SINDACA""",PARTITO COMUNISTA DEI LAVORATORI,PCI,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,PROGETTO CIVICO ATTIVA ROMA,MOVIMENTO IDEA SOCIALE M.I.S.,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,TOTALE,AFFLUENZA
1014,1,1,0,4,22,0,7,9,2,52,101,0,1,1,0,5,0,48,4,7,9,10,0,0,0,3,0,33,0,17,1,0,0,1,0,0,0,342,0.5728643216080402
1015,0,1,2,2,15,1,7,3,7,44,56,1,2,0,0,2,0,50,7,4,13,17,0,1,6,2,3,24,0,13,1,0,1,1,0,0,0,290,0.5
1016,0,0,1,1,9,0,6,8,2,42,31,1,3,0,1,3,0,31,0,7,6,8,0,1,2,4,1,31,1,2,4,0,1,1,0,0,2,213,0.5095693779904307
1017,0,0,1,11,26,3,12,12,6,87,69,5,1,1,0,0,5,83,10,11,21,15,0,1,3,1,1,33,1,18,0,0,1,1,1,0,0,440,0.5200945626477541
1018,0,0,0,2,33,2,9,11,8,67,69,1,1,0,2,3,3,79,7,4,22,10,0,0,7,4,2,34,1,23,4,0,1,0,1,0,3,413,0.5335917312661499
1019,1,0,3,1,34,0,12,8,4,79,91,4,4,0,0,0,2,83,7,10,27,26,0,0,2,5,2,48,1,25,1,0,1,1,0,2,2,486,0.5820359281437125
1020,0,0,1,2,31,2,4,5,4,61,88,1,2,0,2,1,1,79,7,7,20,18,0,1,2,2,0,34,1,18,2,0,2,1,0,0,3,403,0.4809069212410501
1021,0,2,0,4,29,0,6,4,8,65,92,1,4,0,0,3,2,45,4,7,24,19,0,1,0,6,1,35,1,14,0,1,0,2,0,0,2,382,0.5520231213872833
1022,0,0,2,5,31,0,17,9,7,97,100,0,1,0,0,4,0,50,7,3,23,12,0,1,1,8,3,46,3,13,2,0,1,1,0,0,2,449,0.589238845144357
1023,0,0,0,0,1,2,2,0,0,7,11,0,0,0,0,0,0,16,3,0,4,7,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,58,0.4393939393939394
1024,0,0,0,3,29,2,4,5,7,54,62,2,2,0,0,7,1,80,9,12,9,22,0,2,2,3,4,41,1,18,0,0,3,2,0,0,4,390,0.4281009879253567
1025,0,0,2,1,22,0,6,12,4,61,72,2,1,0,0,13,0,68,7,9,21,10,0,1,1,2,3,41,2,16,2,0,0,0,0,1,1,381,0.4780426599749059
1026,0,0,0,4,11,0,3,8,1,50,25,3,2,0,1,8,1,33,6,3,16,8,1,0,3,8,2,39,0,8,0,0,2,1,0,1,1,249,0.4519056261343013
1027,0,0,0,2,28,0,5,13,7,70,53,0,2,0,0,6,0,52,8,7,15,7,0,2,3,10,1,73,0,30,2,1,2,3,0,0,2,404,0.48792270531400966
1028,0,0,1,1,18,1,3,5,2,50,36,0,1,0,0,4,0,53,6,5,19,10,0,0,2,3,2,38,1,51,2,0,2,0,0,1,2,319,0.453125
1029,1,0,0,2,22,0,9,12,3,43,66,1,1,0,1,2,1,56,7,8,23,7,1,0,0,9,1,43,0,25,4,0,1,0,0,0,1,350,0.43209876543209874
1030,0,1,0,0,14,1,6,9,2,63,25,1,3,0,0,7,2,57,17,9,19,9,2,0,0,1,4,50,1,17,2,1,2,2,0,1,4,333,0.39928057553956836
1031,0,0,0,0,22,0,4,4,3,54,48,0,2,0,0,1,0,54,14,5,13,12,0,1,4,4,8,37,0,17,2,0,3,0,0,1,1,315,0.38228155339805825
1032,0,0,0,1,23,1,3,9,2,41,27,1,6,0,2,8,0,39,3,8,23,4,0,1,0,4,2,55,0,14,1,1,2,1,0,0,6,288,0.3902439024390244
1033,0,0,0,2,26,1,3,11,5,49,42,4,2,0,0,4,0,53,6,10,18,3,0,1,3,3,5,38,2,17,0,0,2,0,0,3,0,313,0.41456953642384103
1034,0,0,1,0,21,0,5,9,2,29,33,0,5,0,0,5,1,43,11,10,17,14,0,0,2,2,1,47,1,14,2,1,1,1,1,2,2,283,0.42492492492492495
1035,0,0,1,2,28,2,3,6,3,40,39,0,6,0,0,5,0,53,2,3,18,3,0,1,0,4,0,39,2,10,1,0,0,0,0,0,0,271,0.4329073482428115
1036,0,0,0,3,18,0,3,6,4,52,38,2,2,1,0,14,0,32,10,10,12,6,0,1,0,4,4,33,1,19,2,0,1,0,0,1,1,280,0.4
1037,0,0,1,3,20,0,9,7,0,70,42,0,1,0,2,20,0,44,4,5,10,11,0,0,5,2,4,44,0,23,4,0,0,0,0,0,3,334,0.4606896551724138
1038,0,0,2,2,20,2,5,6,11,44,51,0,2,0,0,9,0,45,5,8,25,11,0,0,0,10,2,46,0,19,1,0,1,0,0,0,0,327,0.44429347826086957
1039,0,0,0,0,16,1,1,11,1,42,25,0,1,0,0,9,2,38,8,7,13,1,0,0,4,3,4,33,1,9,0,0,0,2,0,1,0,233,0.3733974358974359
1040,0,0,0,5,25,1,5,11,2,55,41,1,3,1,0,4,0,65,3,6,21,7,0,1,1,5,0,38,0,12,1,1,1,0,1,0,2,319,0.3802145411203814
1041,0,1,0,3,23,1,6,6,1,38,56,2,5,0,0,3,0,57,5,3,18,14,0,1,0,3,2,43,0,14,0,0,2,0,0,0,1,308,0.4576523031203566
1042,0,0,2,2,17,2,1,17,5,67,76,0,1,2,0,4,0,113,15,8,29,15,1,1,9,9,1,92,0,27,4,0,0,1,0,1,4,526,0.47644927536231885
1043,0,0,0,3,16,3,4,12,5,53,32,0,0,0,0,7,0,42,5,5,16,7,1,1,2,3,3,37,0,9,0,0,1,1,0,0,5,273,0.4148936170212766
1044,0,0,1,3,10,0,0,22,0,26,28,0,2,0,0,3,0,49,3,8,20,10,0,0,5,3,5,46,0,11,1,0,2,2,0,1,2,263,0.3568521031207598
1045,0,2,1,0,13,1,6,8,0,47,60,0,3,0,0,7,0,54,3,9,9,10,0,2,0,4,1,42,0,13,2,0,0,2,0,0,2,301,0.41289437585733885
1046,0,0,0,0,14,0,4,14,1,49,32,0,1,0,0,5,0,36,3,7,20,16,0,0,2,3,3,31,0,6,2,0,0,0,0,1,3,253,0.4009508716323296
1047,0,0,0,1,13,1,4,11,2,46,38,2,3,0,0,2,0,51,6,0,23,3,1,0,4,5,4,34,0,17,3,0,0,0,0,0,1,275,0.4192073170731707
