SEZIONE,CANDIDATO,PREFERENZE,LISTA,MUNICIPIO
1402,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1403,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1404,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1405,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1406,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1407,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1408,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1409,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1410,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1411,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1412,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1413,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1414,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1415,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1416,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1417,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1418,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1419,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1420,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1421,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1422,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1423,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1424,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1425,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1426,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1427,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1428,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1429,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1295,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1296,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1297,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1383,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1384,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1385,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1386,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1387,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1388,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1389,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1390,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1391,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1392,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1393,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1394,VITTORIO CLEMENTI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
