SEZIONE,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PICCA PRESIDENTE,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,POTERE AL POPOLO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,REVOLUZIONE CIVICA,CALENDA SINDACO,RICONQUISTARE L'ITALIA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE - LABORATORIO CIVICO X -,LISTA CIVICA GUALTIERI SINDACO,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
2037,7,9,2,42,13,65,6,4,21,4,6,2,81,0,71,6,4,5,14,19,0,20,401,10,0.5207792207792208
2038,2,11,1,48,21,121,7,3,14,3,1,3,83,5,68,3,11,2,5,17,2,24,455,10,0.5164585698070374
2039,2,22,5,28,6,76,6,4,12,4,6,3,94,4,54,7,2,6,4,11,4,33,393,10,0.5830860534124629
2040,4,11,3,32,4,69,6,5,18,2,4,0,59,2,109,5,5,8,5,18,0,22,391,10,0.5674891146589259
2041,2,11,2,34,13,82,7,2,18,2,2,3,84,3,54,4,1,5,1,10,2,11,353,10,0.5397553516819572
2042,1,7,3,37,11,89,11,3,12,2,1,6,120,1,87,5,9,3,5,27,0,42,482,10,0.5210810810810811
2043,1,19,4,46,22,116,13,10,20,4,5,0,92,2,82,6,2,9,16,18,2,66,555,10,0.5036297640653358
2044,6,13,2,33,8,69,8,5,9,3,1,2,85,4,81,8,5,11,2,29,0,26,410,10,0.5256410256410257
2045,5,17,2,53,19,129,11,16,14,4,3,8,65,0,60,6,0,10,3,14,0,40,479,10,0.5112059765208111
2046,2,24,2,75,8,91,4,12,18,3,4,7,32,3,55,5,2,14,10,6,3,74,454,10,0.42830188679245285
