SEZIONE,ENRICO MICHETTI,ROSARIO TREFILETTI,LUCA TEODORI,VIRGINIA RAGGI,FRANCESCO GRISOLIA,CRISTINA CIRILLO,FABRIZIO MARRAZZO,MARGHERITA CORRADO,GIAN LUCA GISMONDI,PAOLO BERDINI,GIUSEPPE CIRILLO,PAOLO ORONZO MAGLI,FABIOLA CENCIOTTI,ROBERTO GUALTIERI,CARLO CALENDA,MICAELA QUINTAVALLE,ELISABETTA CANITANO,CARLO PRIOLO,SERGIO IACOMONI,MONICA LOZZI,GILBERTO TROMBETTA,ANDREA BERNAUDO,TOTALE,AFFLUENZA
1273,106,2,2,77,0,1,1,0,0,1,0,0,1,64,22,2,1,0,2,2,1,0,285,0.5181818181818182
1274,83,0,5,78,0,4,2,0,0,8,0,0,1,121,56,2,5,0,0,3,0,0,368,0.47361647361647363
1275,70,0,3,64,0,0,0,0,0,2,0,0,0,112,62,3,1,0,1,1,0,0,319,0.609942638623327
1276,69,0,2,102,0,1,0,0,0,4,0,0,0,151,62,0,6,0,0,1,0,0,398,0.5743145743145743
1277,86,1,4,69,0,0,0,0,0,4,0,0,1,134,66,2,2,1,0,2,1,0,373,0.49078947368421055
1278,94,2,3,86,0,3,2,1,0,7,0,0,1,176,67,1,3,0,0,1,0,0,447,0.5752895752895753
1279,70,0,2,56,0,3,1,0,0,2,0,0,1,116,78,2,1,0,0,1,0,0,333,0.624765478424015
1280,103,0,2,72,0,0,0,0,2,9,1,0,0,182,98,1,2,0,0,0,0,0,472,0.6395663956639567
1281,97,1,3,71,0,2,1,1,2,2,0,0,0,83,39,2,7,0,0,0,0,0,311,0.3751507840772014
1282,70,1,1,91,0,2,0,0,0,1,0,0,0,133,76,0,5,0,0,0,2,0,382,0.5403111739745403
1283,80,0,1,59,0,1,0,0,1,0,0,0,1,123,56,1,4,0,0,0,0,0,327,0.5085536547433903
1284,125,1,4,107,0,1,4,0,1,10,0,0,0,167,113,3,0,0,0,1,0,0,537,0.574331550802139
1285,86,0,7,55,0,0,2,0,0,11,0,0,0,132,85,0,3,0,0,4,0,0,385,0.5987558320373251
1286,69,0,1,48,1,0,1,0,0,1,0,0,1,145,97,2,4,0,0,0,0,1,371,0.5408163265306123
1287,117,3,2,95,0,2,2,0,1,4,0,0,0,140,98,1,5,0,0,2,1,1,474,0.5844636251541308
1288,100,0,0,79,0,0,2,0,1,1,0,0,0,173,81,2,6,0,0,1,0,2,448,0.5818181818181818
1289,79,2,2,55,1,2,1,0,1,4,0,0,0,108,59,2,2,0,0,0,0,0,318,0.5648312611012434
1290,90,0,1,58,0,2,2,0,0,1,1,0,2,132,66,0,0,0,0,0,1,0,356,0.586490939044481
1291,97,1,3,71,0,2,1,1,2,2,0,0,0,83,39,2,7,0,0,0,0,0,311,0.4560117302052786
1292,77,1,7,91,0,3,2,1,1,3,0,0,3,110,48,1,1,0,0,1,0,2,352,0.476319350473613
1293,116,0,2,85,0,0,1,0,0,2,0,0,0,107,27,4,4,0,0,0,3,0,351,0.5518867924528302
1294,21,0,0,17,0,0,0,0,1,0,0,0,0,26,8,1,1,0,0,0,0,0,75,0.4934210526315789
1295,79,1,5,56,0,2,0,0,2,6,0,0,0,161,112,1,6,0,1,1,0,0,433,0.48164627363737483
1296,48,0,0,40,0,3,0,0,0,3,0,0,1,95,59,2,4,0,0,0,0,0,255,0.5460385438972163
1297,44,0,2,44,0,2,2,1,1,2,0,0,0,99,26,0,7,0,0,1,1,0,232,0.4793388429752066
1298,118,0,3,68,0,3,2,0,1,0,0,0,1,130,56,1,2,0,0,1,1,0,387,0.45
1299,86,1,2,62,1,0,0,1,0,3,0,1,1,121,86,4,3,0,0,0,0,0,372,0.4946808510638298
1300,103,0,4,69,0,1,0,0,0,2,0,0,0,86,51,1,1,0,1,1,0,1,321,0.4805389221556886
1301,126,2,6,48,0,1,0,0,1,6,0,0,0,122,82,2,3,0,0,0,0,0,399,0.5305851063829787
1302,105,0,0,71,0,2,1,1,2,1,0,0,0,91,44,2,0,0,0,1,0,0,321,0.5071090047393365
1303,82,2,6,88,0,1,1,0,1,0,0,0,1,129,54,3,5,0,2,0,2,0,377,0.5122282608695652
1304,135,1,3,68,1,2,0,1,0,4,0,0,0,115,74,0,1,1,0,2,2,1,411,0.5524193548387096
1305,118,0,2,75,0,1,1,0,0,1,0,0,1,86,50,0,0,0,0,0,0,2,337,0.5168711656441718
1306,136,0,1,69,0,5,0,0,0,0,0,0,0,75,58,2,5,0,0,2,1,0,354,0.44584382871536526
1307,148,0,0,106,0,1,0,0,0,3,0,0,0,123,78,2,0,0,0,1,1,1,464,0.49309245483528164
1308,139,1,1,91,0,0,1,0,0,0,0,0,0,51,18,0,2,0,1,2,0,0,307,0.41939890710382516
1309,101,0,1,62,0,2,4,0,1,2,0,0,0,92,43,0,2,0,0,0,0,0,310,0.45857988165680474
1310,172,1,4,103,0,1,2,0,1,1,0,0,1,158,72,1,4,0,0,2,0,0,523,0.5493697478991597
1311,92,0,0,62,0,1,0,0,0,3,0,0,0,86,63,1,0,0,0,1,0,0,309,0.6821192052980133
1312,104,0,4,72,0,5,2,0,0,0,0,0,0,77,50,0,2,0,0,2,0,0,318,0.5792349726775956
1313,117,0,0,66,0,1,5,0,0,2,0,1,0,137,109,1,3,0,0,1,0,0,443,0.5798429319371727
1314,115,1,5,63,0,4,2,0,0,3,0,0,0,98,72,2,6,0,0,0,0,0,371,0.5870253164556962
1315,109,1,7,79,1,1,1,0,2,5,0,0,1,134,100,0,2,0,0,3,0,0,446,0.590728476821192
1316,146,1,2,76,0,4,4,3,3,4,0,0,0,141,75,3,0,0,0,0,5,0,467,0.5481220657276995
1317,80,0,0,77,0,1,2,0,0,0,0,0,1,73,52,1,1,0,0,2,1,0,291,0.49155405405405406
1318,134,0,0,42,0,0,4,1,0,0,0,0,1,87,54,2,1,0,0,0,0,0,326,0.4217335058214748
1319,119,1,5,103,0,2,1,0,0,1,1,0,1,85,60,0,4,0,1,2,0,0,386,0.48553459119496856
1320,98,1,1,62,0,1,3,0,1,1,0,1,1,73,36,0,2,0,0,0,2,0,283,0.4327217125382263
1321,86,1,1,87,0,0,1,1,0,0,0,0,1,90,59,1,2,0,0,2,0,0,332,0.5896980461811723
1322,118,0,2,92,1,1,0,0,1,0,0,0,0,132,71,0,2,0,0,0,2,1,423,0.5655080213903744
